total_tasks,task_completion_rate,overdue_task_rate,blocked_task_rate,milestone_completion_rate,high_critical_risks,open_issue_rate,project_progress,delay_level
86,20.019796134911235,37.077524987991644,7.3467556141042865,22.558413567262953,0,67.66994874229113,89.75705893196032,HIGH
16,63.14432612041357,1.5891339740891797,2.8108571958477735,30.939480405166563,4,2.6535969683863625,23.889576815231607,MEDIUM
88,73.11924762312123,20.975991048082935,13.476271388515608,35.037163740759645,0,75.88073671297673,20.16763505580456,HIGH
59,40.62254648661927,7.773974990589077,28.716392166203438,40.29350906013641,0,37.99273006373374,39.1030411460397,HIGH
49,64.3353428230202,40.35641366371901,21.891953600814535,58.260528230923065,3,7.880019807845818,32.851936733673824,HIGH
85,65.66677771278214,43.08534501553886,17.32056435770286,73.41146525934312,0,66.12633185677102,78.44149237492573,MEDIUM
15,86.97859489136322,43.324183337763486,11.403786751174984,50.80692721315919,2,16.26540971560848,38.75071652161454,MEDIUM
90,34.0280039844202,46.8327293856247,19.441061557397806,64.82179051002893,1,53.4139877029708,28.25703788938549,HIGH
64,44.1509897581883,49.47616753182976,19.199992795622787,60.12547693971816,5,32.428273441532184,77.98978987127536,HIGH
12,30.614326476769392,1.605012195201888,9.463591441772458,34.09667883781324,1,91.3136124185545,58.88210489045771,MEDIUM
96,38.32100927186301,32.771933264744,11.868957031819928,92.30928307664891,3,14.287159044206266,18.2648803549231,HIGH
100,60.52313207468357,13.137080426146763,17.537579706706214,90.80405952422292,3,36.199644371361096,99.74594890897029,MEDIUM
22,55.857366430881804,4.545470608689694,1.413491262742037,19.868421731559323,5,15.998200172245024,69.64571528215107,MEDIUM
81,15.717493553676142,19.08096432532684,29.8836414072029,57.620291058922334,4,86.07797022344981,6.090697084567865,HIGH
97,20.309656868531796,44.23942250645545,22.52633398774829,79.17388593917013,2,11.155217359587644,46.30269881356497,HIGH
63,10.292078449155635,36.10460306549554,21.590420066577725,97.46992889831029,1,50.76816746043252,15.109028165781972,HIGH
85,36.86003123037696,31.94747474330026,18.269106343145168,23.755534169467133,1,53.937903011962575,78.96951546990303,HIGH
72,92.6644144956132,29.94722922301145,14.658171240868436,20.068095278880556,2,87.87218778231842,84.00822528931205,HIGH
44,31.550707930425293,12.043579622361655,17.0207083106673,17.088134346222947,5,48.59904633166138,11.575189254496443,HIGH
73,78.92509863762889,6.41957322498814,14.25847134296194,59.48232341454495,2,52.7673787418254,62.62642216084975,MEDIUM
32,93.60221437019591,37.76325983179027,20.696028962988642,74.16540755372097,3,99.51493566608947,66.73841547574808,HIGH
61,90.9652676178651,22.574307069556486,7.437168409980238,15.762330669371043,0,58.83087184572333,26.860899596674816,MEDIUM
33,10.64717550865842,35.3920473274227,1.766213006289702,16.066029529927675,0,85.96354002537466,11.731448239422077,HIGH
35,35.06295375680923,24.270724957524536,16.17701794184264,75.10173092928737,4,57.621164972089986,28.08473802759383,HIGH
65,82.6747297989979,9.520495718093885,2.9079244268646995,48.79460641657398,3,41.1102276049738,87.0644910951123,MEDIUM
11,70.60280925639714,49.20826056829831,2.952536134558766,46.23591538920419,2,80.05925108616988,15.38055806325638,HIGH
29,27.118801759673037,22.430677391656594,12.656449195032126,35.06906302002464,1,87.448595407058,12.16156439555749,HIGH
75,18.81178553814403,32.6072446999261,16.21763814300915,11.328207084608549,0,92.63669830081275,85.62609476935901,HIGH
26,46.57726521572248,24.067920898551975,25.939511820906464,91.21985789594937,1,37.89731189769161,98.60434015907397,HIGH
38,93.38662662034,39.256467839706076,8.557476868407608,72.69323532401464,5,99.54226894927139,57.79799072353373,MEDIUM
96,53.80042704888965,9.494893363381857,6.531026952425249,15.263496280656947,5,54.21952013742742,76.05767823601109,MEDIUM
12,14.512810353755821,23.839425855446745,27.58161392496226,57.801352174348715,0,96.07789032744503,12.610589197855752,HIGH
28,16.166919943341313,3.3980431687878623,25.85457605910388,46.339799618644975,4,24.621534778862486,61.47931958567691,HIGH
84,17.378506494538794,32.86865822362613,16.956807715322682,38.47328613790544,2,20.425919942353644,73.03822107499441,HIGH
35,33.905306127821845,6.543914106372823,19.365023665129485,51.15021153134068,0,0.9315456884246398,64.01012927184382,MEDIUM
77,99.6486803069585,3.66303605498165,6.394629368011212,33.86803732753612,2,88.08641736864395,88.53067303603156,MEDIUM
52,35.64886520949911,21.909228650385494,16.296538867847605,37.22654286810009,5,52.894069260227006,68.44700435269544,HIGH
75,36.944087697998015,33.16943574830387,28.16790011781312,22.086200295403096,0,88.97127070057091,75.52958497819488,HIGH
24,34.51133910833347,30.241491351511197,21.52836561416394,28.323758109470763,5,85.29128153918974,53.013860519308786,HIGH
37,91.48028419713908,42.30518566474277,2.7689540313820027,48.12181953073537,2,4.408676179905003,36.68787116748338,MEDIUM
21,67.34020395712417,13.09776312171741,22.236927250437926,59.65123790137521,3,56.09068647747464,15.628018655986825,HIGH
93,91.35357144039038,27.279514460276115,25.0378505965805,62.42586098408146,1,42.97867128807717,8.973741526041495,HIGH
51,90.9083339868331,39.806115244402086,25.821077460027084,90.90321728738272,1,68.20666883105766,68.35867401037659,HIGH
50,80.21046176842984,44.206735072550444,12.191321694963504,65.85953591356414,1,92.57638225695565,27.49004656178907,HIGH
25,97.85854296378666,40.538585997019844,26.44248613989973,12.230772570836985,5,92.44872952415456,79.326717134025,HIGH
57,82.2011625043425,43.20320141876397,24.32247949723167,34.012513863502484,5,10.809562640295711,87.85584437607852,HIGH
65,30.0190345791098,40.829330279846445,13.809097040368263,37.467178060474055,1,22.2923547205809,67.70315236111975,HIGH
56,39.543575607793585,43.217647101514316,29.006673121450834,35.121249344968426,5,50.94056755280374,69.55422124422505,HIGH
73,39.80348813929663,1.3800267559817947,26.31115234726681,33.50936767511892,4,96.25343157615555,30.21930443968202,HIGH
18,63.69141294889702,17.284355583990013,23.592845346110458,49.275449548354715,4,11.564578402933046,90.45294962656396,HIGH
29,32.92502555247238,35.43926419170853,0.050738346558883984,93.30176489491744,4,68.68571469145267,94.32499643776757,HIGH
99,70.35656539896996,18.211073589063208,2.0992143337893054,69.78139164201451,2,62.31554099464092,68.0218102452267,MEDIUM
20,74.77788367125552,15.016113410563209,9.278539866259598,46.75536177572952,3,69.7208414194399,57.669185378345404,MEDIUM
29,47.84017003956175,47.01818353650915,20.319538358181987,91.25249911593244,4,56.91052548658093,43.57714103202547,HIGH
5,37.34874543415184,10.509134244132095,23.572764824327404,64.59954134317863,2,46.49881902470142,47.00518093395671,HIGH
32,56.005659718712835,39.6867699553001,28.794960110491086,76.23653013461995,5,8.479553672512175,53.967940941945564,HIGH
86,65.73347248261379,4.6693600037781335,28.559989873574256,31.138173867401555,2,22.464066599728827,23.91734360902478,HIGH
8,14.159234628348258,49.19680113909257,18.338219191820404,79.16404051001771,3,41.444101099771935,64.82771117008281,HIGH
29,74.65113239490897,19.198923369637566,11.98958588629613,23.28142105821684,5,0.554481813803176,76.34162527875492,MEDIUM
18,80.05783660905925,10.94205684061597,24.12329568519429,72.63205987674145,3,5.0218385140640915,28.673836567697307,MEDIUM
