total_tasks,task_completion_rate,overdue_task_rate,blocked_task_rate,milestone_completion_rate,open_risk_rate,high_critical_risks,open_issue_rate,project_progress,risk_level
86,20.019796134911235,37.077524987991644,7.3467556141042865,22.558413567262953,10.24951761715075,5,89.21795677048453,13.259189099794535,CRITICAL
59,12.860441153360522,4.684761993079622,6.979826801722187,64.18168561449824,56.1245062938613,5,64.98844377795233,56.76944065730559,HIGH
33,50.428814165546825,13.909535411533136,26.079009623788018,78.29266304167905,15.965931637689012,3,34.02505165179919,19.77055248211925,HIGH
48,19.198924886786383,18.99636503186687,10.769381414538852,40.9560150231074,26.452086722201308,0,72.9731786693818,55.94166868819657,HIGH
53,17.092017827061234,14.658914070354644,18.8591939848333,89.69065731431262,36.16350261669765,1,70.45718362149235,9.35331644728791,CRITICAL
34,79.57615067098227,49.26107603303789,25.659531630454406,87.98353000797427,38.01262250391662,3,63.56844442644002,39.659057002158,CRITICAL
52,41.974363020476936,33.50875871888467,21.05460940375654,71.51928989830006,7.140250957854832,5,17.1138648198097,74.26704580528317,CRITICAL
25,51.603419066600416,13.497391339213898,27.76173538863653,71.93457625899819,21.961517397026896,2,84.28519201898096,78.71999159689325,HIGH
34,83.96223346061275,40.252290038560716,12.034943610669869,15.95697446903925,91.3136124185545,4,87.63676264726689,34.8943986758554,CRITICAL
88,54.93081335430496,44.234157694335124,19.285556106012727,22.85844313978564,13.963031952550631,5,56.13681341631508,29.96045280967885,CRITICAL
79,48.55904445651217,29.17664624728281,10.859893311408328,99.75932001902449,13.833174489085586,3,9.090941217379388,9.476055665349783,HIGH
19,23.755718741343493,7.999100086122512,20.414436404889813,63.67681276587764,38.476731167450005,4,99.61213802400968,55.26586278441802,CRITICAL
75,87.47017320110483,0.5740510971409818,21.62165458080584,71.35393321239172,53.69703304087952,2,76.8598732657446,37.3166699379493,HIGH
42,49.12887256021945,22.68618531646032,28.614477825632402,88.82676463403746,26.338905075109075,4,76.19621990520646,53.2297590874109,CRITICAL
